0:1.2012538 1:-1.2528001564615205 2:1.0929413 3:2.852562055493587 4:0.9233588713702409
0 0:1.4636073 1:2.779326492530326 2:0.7910283170376557 3:1.1101098 4:-0.7165997563296747
0 0:2.6423377535035515 1:-2.6033832569935162 2:2.193540249422977 3:1.370703 4:2.126109014706631
0 0:2.5651977756673063 1:-2.2478265263112176 2:2.291913860724197 3:1.1462259 4:3.578150910685287
0 0:3.042634841394854 1:1.162894 2:1.2221762 3:2.594210587795292 4:1.3445012
0 0:1.3697903 1:-2.271904677191218 2:2.21212544521507 3:1.4574299 4:3.5982527630494974
0 0:1.0637957 1:-2.8043845270898307 2:1.2324871 3:1.1525613 4:1.3865626
0 0:3.6363294256370096 1:-1.2332832324087726 2:3.5427254080785215 3:0.8918665366550039 4:1.1411501
0 0:2.9244591626860337 1:-1.5208738316672625 2:1.0067151 3:3.6558101871406907 4:1.913207322931694
0 0:2.8604701391127847 1:-1.2776183336253812 2:3.19019772313894 3:2.951130311807131 4:3.430930230397379
0 0:2.9838074974727373 1:-2.2611792256597525 2:2.5880340391298 3:2.3130082886086325 4:1.0186247
0 0:1.281561 1:-0.7343729701241595 2:0.8430968470927656 3:1.4148249 4:1.200256
0 0:1.2556004 1:1.4585834546256784 2:0.8437120007163209 3:2.350729726807749 4:0.9041135007672101
0 0:2.7745637781331443 1:-2.542394143111244 2:1.3622509 3:1.5022911006674253 4:2.9572712129547734
0 0:2.576724542197531 1:-1.7015393884386136 2:1.0410833 3:1.4574767996907465 4:1.2517215
0 0:3.1792429723517928 1:-1.556490558007549 2:2.1064663494608906 3:2.8979466063920256 4:1.206343
0 0:1.3130900051020142 1:1.8396543903745348 2:-1.5064662748091124 3:1.5840312 4:1.1700021
0 0:1.4442033 1:-1.6149161775799064 2:1.5111085 3:1.2300441642930904 4:3.4976497655468344
0 0:1.3608163 1:-1.3012983757683938 2:1.7144213124662817 3:1.0624721 4:1.1112330167838755
0 0:2.868998173166245 1:-2.7965261439831353 2:1.6023859 3:1.73204288485017 4:2.6677543601543663
0 0:0.6917678587676036 1:-0.6865605252778219 2:1.3253529 3:3.12342605947267 4:1.4365091
0 0:1.4731152 1:-2.4044963004094466 2:1.1473143 3:0.6071498115909454 4:1.3642785531558705
0 0:1.7866688984023325 1:0.4138598831886903 2:1.2444735 3:3.4306229407001685 4:3.0871432506161987
0 0:1.33577742454261 1:1.1731577523025944 2:1.1124669 3:1.0023598 4:1.1951365210609268
0 0:1.1725892 1:0.9182382173254738 2:3.6635147230650884 3:1.1190948 4:1.8729938693980819
0 0:3.1680010180849223 1:-0.3571530469746903 2:1.7574974198713693 3:2.1140883700266335 4:1.011264
0 0:1.5714183 1:-1.9686231368561073 2:1.0106097 3:1.8004415689209088 4:1.9676116155446621
0 0:1.2840489 1:-0.6728434045548622 2:3.507170632636128 3:1.4882853 4:1.11596
0 0:1.5919141 1:0.6061491264964393 2:1.989442059827049 3:0.9423719325866048 4:0.671941695256607
0 0:1.2315832 1:-2.522840431114379 2:3.1612343907957916 3:1.1520376 4:1.1031318
0 0:1.1119734 1:-1.7489495939039743 2:2.3566284161313242 3:1.3055843 4:1.0425536
0 0:3.4653817353956993 1:-1.3772763224195632 2:1.2903425 3:1.1413276 4:1.1299235
0 0:1.6968127998025546 1:-0.2137413465068379 2:1.324701 3:1.6307575445600224 4:3.251389943260683
0 0:1.2075148 1:0.23770567938362122 2:1.0112945 3:2.8380268076814064 4:2.265435921885603
0 0:0.8277967602499601 1:1.8165719052020648 2:1.6452741 3:1.322515 4:3.2252059033076406
0 0:3.606333750006046 1:1.0413308032907846 2:1.3746774 3:3.045900948649462 4:1.124561
0 0:1.0311162 1:2.018705765733914 2:0.9813886375101422 3:1.423424 4:1.1097216883173702
0 0:1.0947534 1:-3.0974438013931107 2:3.3262398715756363 3:3.370153162224998 4:1.2924483
0 0:1.2602967 1:-2.4212851041023553 2:2.597893465668803 3:1.1334093 4:0.9373490906365706
0 0:1.1365849 1:-0.5449377192944429 2:2.7375508021618353 3:0.5625582984038403 4:2.627873837515014
0 0:1.6958976 1:1.0232879543429443 2:2.269577986877585 3:1.2930844 4:3.4774645884891986
0 0:1.051066 1:1.6861695 2:1.0499115 3:1.328132 4:1.2114115
0 0:3.294722720151876 1:-2.409327992201848 2:1.0440685 3:3.296141557580586 4:2.405304715481421
0 0:1.7364238139633044 1:-0.37864443974283346 2:3.4104478803271645 3:1.229892 4:2.200894343391715
0 0:1.5335184 1:0.9731223128911315 2:1.2402426 3:3.1964156950295073 4:3.4444972563083405
0 0:2.5815894902914143 1:3.073925710174349 2:2.3149762596791787 3:2.2746379110752892 4:3.449285280811075
0 0:2.5512699703883874 1:-0.4839789922540113 2:1.4106918 3:1.1119534 4:2.126381650160483
0 0:2.8112262017849607 1:2.0641694842880924 2:1.4635509 3:1.3178799 4:1.3432361
0 0:2.674686202100527 1:-2.5411336042060704 2:1.0078022 3:3.3995358403431375 4:1.2956398
0 0:0.45283545919070467 1:0.6957690995095047 2:1.362628 3:1.6246659392574967 4:1.031755
0 0:1.4187349007097643 1:1.1486887616441768 2:3.4667567951709097 3:3.152166125782971 4:2.5624712004011196
0 0:3.079996787804058 1:2.900772104439943 2:1.2151905 3:1.0483066 4:-1.0683236997711303
0 0:0.559389237745813 1:1.3409919166040694 2:1.4961423268997416 3:1.0676246 4:3.1482224949615576
0 0:1.2268546 1:2.420608500234153 2:1.2146247 3:1.3184001 4:1.5457633038668221
0 0:3.5090023411616644 1:1.244093222635819 2:0.0 3:3.528259468753057 4:2.6160375004350436
0 0:1.2991224 1:-2.7085484010220346 2:1.3996261 3:1.5193688 4:1.3261651
0 0:2.761655477149544 1:-1.8577866897866016 2:1.0354174 3:1.1020237 4:1.0689285
0 0:1.2688741 1:3.0255068160692407 2:2.0398296239736426 3:1.3645271 4:2.7178796262594047
0 0:1.5193684 1:-2.5515953597541037 2:1.5198567185883114 3:1.3485447 4:2.381331299878322
0 0:0.7509907466648676 1:3.0666120829441406 2:2.9686313300981473 3:1.149419 4:2.2573969835491807
0 0:1.2523042 1:-2.792435508537029 2:0.8420311595496086 3:3.3894064270822586 4:1.1030373
0 0:1.5048554 1:0.7362560346196837 2:1.6443762 3:1.5178294 4:1.2567508
0 0:2.7305401604393755 1:-2.7867266082171547 2:1.0010697 3:2.5773987548493658 4:1.1896903
0 0:1.5692062 1:-1.9558889164240696 2:3.247696212943657 3:3.1864159224836976 4:-0.7280041308747671
0 0:0.7016856309859769 1:-1.3272041474173197 2:1.2872122 3:1.7129533631321754 4:1.1549674
0 0:1.3156573 1:-1.042025408511148 2:3.551232031548505 3:2.3958171414815532 4:2.503315266562149
0 0:1.0083949 1:-1.7302087115323774 2:1.1670208 3:3.459818331394808 4:1.3221388
0 0:1.9277779239581712 1:1.9278187953640855 2:2.238124736112756 3:1.0297342 4:1.5139205055617369
0 0:2.8406052378966327 1:1.945323566025402 2:1.0686948 3:1.1176212 4:1.0947265
0 0:1.5441004520047832 1:-2.845677265327952 2:2.1541727714522825 3:1.2704725 4:1.1158244
0 0:3.361628218358844 1:2.0399070625960096 2:1.4357474 3:1.0878825 4:3.371078011140103
0 0:1.7062342 1:-1.0175415849238802 2:1.611336 3:1.4373754623577537 4:1.1623139539549046
0 0:1.560974 1:1.1145236554509252 2:1.3403825 3:1.0636595 4:1.0482604
0 0:1.0897943 1:3.3488003726090283 2:3.0647341319728487 3:1.1027332 4:1.184064
0 0:1.3675525 1:0.6805794309594242 2:1.5652356 3:2.96682507882994 4:1.0476225
0 0:1.4735964 1:-2.404772136414437 2:3.6677295546105335 3:1.4643162671092296 4:2.114155728752312
0 0:1.0907199 1:0.9845304750895226 2:1.5630812 3:1.1331316 4:1.6166696
0 0:3.525230790889781 1:-0.5651439758440578 2:2.390792975165531 3:1.2740901 4:3.0016246713554966
0 0:1.2814276 1:-1.7779804689125218 2:1.0633507 3:1.2889839 4:3.425037905388136
0 0:3.25652914547796 1:-1.8885307793526842 2:1.3682137963260255 3:3.4333689767887923 4:1.2583262
0 0:3.50721783156843 1:-3.4128368158422435 2:3.4231677534609966 3:1.2026489 4:1.5543000934509819
0 0:3.513439702981074 1:0.9380688099752782 2:1.1389354 3:1.0469905 4:3.319156757603265
0 0:2.648272531800306 1:-2.475292270858579 2:2.8954656274407653 3:1.1474005 4:2.6916448189434803
0 0:1.1989344025624833 1:3.058824994873144 2:2.4871690746770785 3:1.1761951 4:1.3260502138747636
0 0:3.205184542965158 1:0.4912119696215702 2:2.702159365191322 3:3.406513299340004 4:2.676268525152894
0 0:0.6699888440310925 1:-1.3232184827254168 2:1.2628557 3:3.439287458026303 4:2.093521150169341
0 0:3.62610940366977 1:2.911066106962802 2:1.2067954 3:3.4792669770232743 4:1.1907076
0 0:1.5042709 1:-1.8428450455557586 2:1.0187219 3:1.2270341 4:-0.29652355736168895
0 0:1.4973232 1:-2.780096684928363 2:0.7152460350669974 3:1.0254456 4:3.537143536529683
